Well,Content,Raw Data 
A01,Sample X1,248
A02,Sample X2,3786
A03,Sample X3,243
A04,Sample X4,3160
A05,Sample X5,250
A06,Sample X6,244
A07,Sample X7,246
A08,Sample X8,243
A09,Sample X9,241
A10,Sample X10,240
A11,Sample X11,7703
A12,Sample X12,239
B01,Sample X13,246
B02,Sample X14,238
B03,Sample X15,237
B04,Sample X16,248
B05,Sample X17,244
B06,Sample X18,244
B07,Sample X19,22780
B08,Sample X20,237
B09,Sample X21,7744
B10,Sample X22,1382
B11,Sample X23,4754
B12,Sample X24,239
C01,Sample X25,7948
C02,Sample X26,252
C03,Sample X27,246
C04,Sample X28,12364
C05,Sample X29,239
C06,Sample X30,239
C07,Sample X31,4649
C08,Sample X32,240
C09,Sample X33,10930
C10,Sample X34,1222
C11,Sample X35,240
C12,Sample X36,8550
D01,Sample X37,243
D02,Sample X38,7482
D03,Sample X39,7980
D04,Sample X40,243
D05,Sample X41,8433
D06,Sample X42,242
D07,Sample X43,238
D08,Sample X44,6998
D09,Sample X45,242
D10,Sample X46,19216
D11,Sample X47,2230
D12,Sample X48,235
E01,Sample X49,241
E02,Sample X50,243
E03,Sample X51,245
E04,Sample X52,237
E05,Sample X53,240
E06,Sample X54,6588
E07,Sample X55,240
E08,Sample X56,241
E09,Sample X57,5680
E10,Sample X58,241
E11,Sample X59,10611
E12,Sample X60,232
F01,Sample X61,7933
F02,Sample X62,5834
F03,Sample X63,240
F04,Sample X64,242
F05,Sample X65,6039
F06,Sample X66,235
F07,Sample X67,233
F08,Sample X68,10620
F09,Sample X69,6948
F10,Sample X70,240
F11,Sample X71,236
F12,Sample X72,235
G01,Sample X73,238
G02,Sample X74,248
G03,Sample X75,7023
G04,Sample X76,239
G05,Sample X77,240
G06,Sample X78,6823
G07,Sample X79,4706
G08,Sample X80,238
G09,Sample X81,241
G10,Sample X82,239
G11,Sample X83,236
G12,Sample X84,226
H01,Sample X85,239
H02,Sample X86,7555
H03,Sample X87,241
H04,Sample X88,1824
H05,Sample X89,232
H06,Sample X90,4999
H07,Sample X91,241
H08,Sample X92,235
H09,Sample X93,232
H10,Sample X94,23891
H11,Sample X95,244
H12,Sample X96,236
